"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                    BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
"Absolute numbers",,,,,,2015,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",,"משאית","כלי","סך כולל","קבועה",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2014",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population ",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2014,
,,,,,,,,,,,,
" Total","10,526",589,"1,912","2,315","3,042","13,424","46,840","60,264","353,842 ","432,490 ","1,237,094 ","סך הכל"
"Abu Ghosh",63,"-",13,2,14,31,198,229,"1,548 ","1,869 ","6,795 ","אבו גוש"
"Abu Sinan",108,1,39,"-",9,148,517,665,"3,530 ","4,352 ","13,151 ","אבו סנאן"
"Even Yehuda",244,5,15,7,19,134,458,592,"5,336 ","6,218 ","12,973 ","אבן יהודה"
"Oranit",169,2,20,2,1,97,266,363,"3,246 ","3,803 ","8,086 ","אורנית"
"Azor",406,79,87,815,13,292,558,850,"4,350 ","6,600 ","11,979 ","אזור"
"Iksal",145,3,22,17,14,195,772,967,"3,576 ","4,744 ","13,403 ","אכסאל"
"Elyakhin",67,6,8,16,21,28,131,159,"1,243 ","1,520 ","3,407 ","אליכין"
"Alfe Menashe",160,2,30,"-",4,54,249,303,"2,965 ","3,464 ","7,614 ","אלפי מנשה"
"Elqana",28,1,3,"-","-",17,64,81,"1,290 ","1,403 ","3,871 ","אלקנה"
"I'billin",56,1,19,8,28,186,616,802,"3,431 ","4,345 ","12,479 ","אעבלין"
"Efrata",53,"-","-","-",6,23,195,218,"2,416 ","2,693 ","8,131 ","אפרתה"
"Be'er Ya'aqov",322,3,42,52,86,157,422,579,"5,536 ","6,620 ","17,609 ","באר יעקב"
"Bu'eine-Nujeidat",27,14,4,31,51,100,336,436,"2,221 ","2,784 ","8,896 ","בועיינה-נוג'ידאת"
"Buq'ata",13,4,6,19,36,122,421,543,"1,510 ","2,131 ","6,238 ","בוקעאתא"
"Bir El-Maksur",28,3,1,35,40,63,443,506,"2,253 ","2,866 ","8,489 ","ביר אל-מכסור"
"Bet El",37,"-","-","-",6,44,178,222,"981 ","1,246 ","5,991 ","בית אל"
"Bet Arye",99,2,19,1,5,42,187,229,"1,715 ","2,070 ","4,516 ","בית אריה"
"Beit Jann",21,2,3,12,49,36,506,542,"2,986 ","3,615 ","11,253 ","בית ג'ן"
"Bet Dagan",254,2,28,8,3,83,412,495,"2,539 ","3,329 ","7,078 ","בית דגן"
"Bene Ayish",60,"-",5,1,12,76,125,201,"2,546 ","2,825 ","6,929 ","בני עי""ש"
"Binyamina-Giv'at Ada ",215,2,4,5,9,99,467,566,"4,629 ","5,430 ","14,517 ","בנימינה-גבעת עדה"
"Basma",32,"-",8,14,51,70,396,466,"2,397 ","2,968 ","8,657 ","בסמ""ה"
"Basmat Tab'un",47,2,53,"-",4,120,329,449,"1,887 ","2,442 ","7,321 ","בסמת טבעון"
"Bi'ne",47,2,3,2,11,85,386,471,"1,976 ","2,512 ","7,751 ","בענה"
"Giv'at Ze'ev",204,1,73,7,11,114,302,416,"4,611 ","5,323 ","15,094 ","גבעת זאב"
"Judeide-Maker",140,4,19,"-",35,161,672,833,"5,191 ","6,222 ","19,736 ","ג'דיידה-מכר"
"Gedera",268,4,52,1,15,181,598,779,"7,624 ","8,743 ","25,835 ","גדרה"
"Julis",64,"-",39,4,9,27,225,252,"1,947 ","2,315 ","6,036 ","ג'ולס"
"Jaljulye",90,7,7,5,45,117,598,715,"2,519 ","3,388 ","9,216 ","ג'לג'וליה"
"Gan Yavne",266,2,56,3,15,209,647,856,"7,368 ","8,566 ","21,762 ","גן יבנה"
"Ganne Tiqwa",420,12,47,5,6,76,339,415,"5,781 ","6,686 ","15,606 ","גני תקווה"
"Jisr Az-Zarqa",40,"-","-",18,89,18,236,254,"1,973 ","2,374 ","13,689 ","ג'סר א-זרקא"
"Jish (Gush Halav)",12,"-",2,1,4,40,186,226,"1,016 ","1,261 ","3,015 ","ג'ש (גוש חלב)"
"Jat",52,1,14,7,41,87,466,553,"3,414 ","4,082 ","10,899 ","ג'ת"
"Daliyat Al-Karmel",59,1,29,12,62,224,870,"1,094","5,261 ","6,518 ","16,555 ","דאלית אל-כרמל"
"Daburiyya",42,8,2,5,24,421,345,766,"2,731 ","3,578 ","9,699 ","דבורייה"
"Deir Al-Asad",41,22,4,6,40,278,475,753,"3,056 ","3,922 ","11,479 ","דייר אל-אסד"
"Deir Hanna",45,5,21,37,41,60,391,451,"2,754 ","3,354 ","9,624 ","דייר חנא"
"Har Adar",84,"-",2,2,"-",22,95,117,"1,639 ","1,844 ","3,776 ","הר אדר"
"Zikhron Ya'aqov",273,7,21,12,48,233,561,794,"7,497 ","8,652 ","22,028 ","זכרון יעקב"
"Zemer",26,1,2,29,26,183,352,535,"1,932 ","2,551 ","6,375 ","זמר"
"Zarzir",22,"-",2,"-",2,24,271,295,"1,693 ","2,014 ","7,232 ","זרזיר"
"Hura",11,"-","-",32,120,113,534,647,"1,686 ","2,496 ","18,790 ","חורה"
"Hurfeish",11,1,10,12,24,31,197,228,"1,606 ","1,892 ","5,960 ","חורפיש"
"Hazor HaGelilit",91,27,10,19,16,127,250,377,"2,485 ","3,025 ","8,839 ","חצור הגלילית"
"Harish",3,"-",3,"-",2,5,27,32,"217 ","257 ","979 ","חריש"
"Tuba-Zangariyye",23,5,2,8,35,105,249,354,"1,479 ","1,906 ","6,114 ","טובא-זנגרייה"
"Tur'an",17,6,10,26,26,473,660,"1,133","3,302 ","4,520 ","13,021 ","טורעאן"
"Yanuh-Jat",19,4,6,1,14,45,271,316,"1,605 ","1,965 ","6,179 ","יאנוח-ג'ת"
"Yavne'el",36,"-",7,8,8,51,126,177,"1,006 ","1,242 ","4,080 ","יבנאל"
"Yesud HaMa'ala",29,"-","-","-",1,34,178,212,"651 ","893 ","1,654 ","יסוד המעלה"
"Yafi",70,13,30,6,32,215,973,"1,188","4,864 ","6,203 ","17,930 ","יפיע"
"Yeroham",55,"-",10,9,18,33,260,293,"1,952 ","2,337 ","8,959 ","ירוחם"
"Yirka",80,34,38,28,52,270,864,"1,134","4,297 ","5,663 ","16,048 ","ירכא"
" Kabul",68,4,12,62,49,85,409,494,"3,028 ","3,717 ","12,985 ","כאבול"
"Kaokab Abu Al
  -Hija",9,"-",6,6,4,48,110,158,"1,082 ","1,265 ","3,237 ","כאוכב אבו אל-
  היג'א"
"Kokhav Ya'ir",183,4,13,"-",2,98,329,427,"4,234 ","4,863 ","9,112 ","כוכב יאיר"
"Kuseife",5,"-",5,21,120,82,416,498,"1,210 ","1,859 ","18,586 ","כסיפה"
"Kisra-Sumei",14,2,9,1,28,32,233,265,"1,926 ","2,245 ","8,016 ","כסרא-סמיע"
"Ka'abiyye-
  Tabbash-Hajajre",14,"-","-",14,28,43,229,272,"1,364 ","1,692 ","4,844 ","כעביה-טבאש-
  חג'אג'רה"
"Kafar Bara",14,"-",8,3,11,106,198,304,"921 ","1,261 ","3,274 ","כפר ברא"
"Kefar Weradim",53,"-",2,"-","-",16,134,150,"2,253 ","2,458 ","5,482 ","כפר ורדים"
"Kafar Yasif",90,2,33,"-",8,114,473,587,"3,390 ","4,110 ","9,371 ","כפר יאסיף"
"Kafar Kama",76,"-",4,1,"-",16,91,107,"1,086 ","1,274 ","3,142 ","כפר כמא"
"Kafar Kanna",68,10,18,69,68,342,"1,029","1,371","5,370 ","6,974 ","20,832 ","כפר כנא"
"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                    BY TYPE OF VEHICLE (Cont.)",,,,,,,,,,,,"              לפי סוג כלי רכב (המשך)"
"Absolute numbers",,,,,,2015,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",,"משאית","כלי","סך כולל","קבועה ",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2014",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2014,
,,,,,,,,,,,,
"Kafar Manda",42,6,33,54,187,161,617,778,"4,138 ","5,238 ","18,053 ","כפר מנדא"
"Kafar Qara",146,3,5,37,36,286,944,"1,230","5,562 ","7,019 ","17,350 ","כפר קרע"
"Kefar Shemaryahu",58,"-",4,"-",2,24,90,114,"1,133 ","1,311 ","1,864 ","כפר שמריהו"
"Kefar Tavor",33,1,1,"-",2,53,120,173,"1,571 ","1,781 ","3,594 ","כפר תבור"
"Lehavim",60,4,8,75,17,35,115,150,"2,651 ","2,965 ","6,350 ","להבים"
"Laqye",6,1,"-",27,133,143,520,663,"1,761 ","2,591 ","11,249 ","לקיה"
"Mevasseret Ziyyon",371,7,105,28,16,184,503,687,"9,509 ","10,723 ","24,255 ","מבשרת ציון"
"Mughar",25,3,25,12,76,181,853,"1,034","5,739 ","6,914 ","21,312 ","מגאר"
"Majd Al-Kurum",62,5,9,15,28,164,468,632,"3,700 ","4,451 ","14,505 ","מג'ד אל-כרום"
"Migdal",32,1,4,"-",3,38,86,124,"551 ","715 ","1,814 ","מגדל"
"Majdal Shams",41,6,7,5,34,230,868,"1,098","3,098 ","4,289 ","10,485 ","מג'דל שמס"
"Mazkeret Batya",196,5,40,1,3,99,317,416,"4,618 ","5,279 ","11,857 ","מזכרת בתיה"
"Mazra'a",99,1,5,1,2,45,176,221,"1,014 ","1,343 ","3,596 ","מזרעה"
"Metula",34,"-",1,"-",1,27,109,136,"687 ","859 ","1,593 ","מטולה"
"Metar",92,1,16,3,2,39,187,226,"3,130 ","3,470 ","7,118 ","מיתר"
"Mas'ade",5,1,"-",1,18,73,383,456,"1,030 ","1,511 ","3,447 ","מסעדה"
"Mi'elya",9,"-",4,2,6,37,255,292,"1,127 ","1,440 ","3,170 ","מעיליא"
"Ma'ale Efrayim",17,"-","-","-",2,10,39,49,"387 ","455 ","1,145 ","מעלה אפרים"
"Ma'ale Iron",57,8,5,2,24,176,708,884,"3,352 ","4,332 ","13,873 ","מעלה עירון"
"Mizpe Ramon",39,"-","-",5,5,15,189,204,"1,078 ","1,331 ","5,007 ","מצפה רמון"
"Meshhed",8,"-",14,6,12,273,414,687,"1,772 ","2,499 ","7,667 ","משהד"
"Nahef",44,9,8,3,11,47,521,568,"2,756 ","3,399 ","11,866 ","נחף"
"Sajur",8,"-",32,"-",4,22,98,120,"1,070 ","1,234 ","3,968 ","סאג'ור"
"Savyon",105,1,"-","-","-",24,170,194,"2,320 ","2,620 ","3,590 ","סביון"
"Ghajar",5,"-",8,7,8,29,74,103,"470 ","601 ","2,415 ","ע'ג'ר"
"Omer",97,24,9,5,12,133,316,449,"3,912 ","4,508 ","7,326 ","עומר"
"Eilabun",26,1,10,19,9,57,222,279,"1,820 ","2,164 ","5,423 ","עיילבון"
"Ilut",17,"-",3,1,4,237,490,727,"1,580 ","2,332 ","7,422 ","עילוט"
"Ein Mahel",18,3,16,15,20,63,450,513,"2,829 ","3,414 ","12,267 ","עין מאהל"
"Ein Qiniyye",7,"-",1,"-",23,21,160,181,"615 ","827 ","1,920 ","עין קנייא"
"Immanu'el",21,"-",1,"-",1,16,58,74,"358 ","455 ","3,197 ","עמנואל"
"Isifya",62,7,51,13,44,85,482,567,"3,575 ","4,319 ","11,660 ","עספיא"
"Arrabe",57,7,22,21,56,290,"1,199","1,489","6,235 ","7,887 ","23,493 ","עראבה"
"Ar'ara",136,7,26,21,26,181,"1,037","1,218","5,070 ","6,504 ","23,607 ","ערערה"
"Ar'ara-BaNegev","-","-",2,"-",54,152,499,651,"1,527 ","2,234 ","15,298 ","ערערה-בנגב"
"Fureidis",96,1,1,10,39,137,447,584,"2,822 ","3,553 ","12,098 ","פוריידיס"
"Fassuta",7,4,20,1,1,33,176,209,"1,077 ","1,319 ","2,977 ","פסוטה"
"Peqi'in (Buqei'a)",20,2,21,166,27,74,289,363,"1,806 ","2,405 ","5,609 ","פקיעין (בוקייעה)"
"Pardes Hanna-Karkur",472,6,57,78,60,284,"1,114","1,398","12,436 ","14,507 ","36,715 ","פרדס חנה-כרכור"
"Pardesiyya",126,2,14,"-",3,73,184,257,"2,599 ","3,001 ","5,430 ","פרדסייה"
"Qedumim",24,"-","-","-",3,19,114,133,"1,025 ","1,185 ","4,187 ","קדומים"
"Qadima-Zoran",412,29,48,22,41,281,718,999,"6,963 ","8,514 ","19,603 ","קדימה-צורן"
"Qazrin",70,2,9,26,30,47,237,284,"2,299 ","2,720 ","6,829 ","קצרין"
"Qiryat Arba",29,"-",4,1,11,21,144,165,"1,146 ","1,356 ","6,951 ","קריית ארבע"
"Qiryat Tiv'on",170,2,35,8,18,117,459,576,"6,569 ","7,378 ","17,605 ","קריית טבעון"
"Qiryat Ye'arim",23,"-","-","-",3,3,49,52,"517 ","595 ","3,801 ","קריית יערים"
"Qiryat Eqron",151,27,49,2,13,132,346,478,"3,421 ","4,141 ","10,699 ","קריית עקרון"
"Qarne Shomeron",81,4,8,2,4,40,195,235,"2,060 ","2,394 ","6,650 ","קרני שומרון"
"Rame",16,4,13,"-",19,108,361,469,"2,697 ","3,218 ","7,341 ","ראמה"
"Rosh Pinna",67,1,4,1,5,62,154,216,"1,278 ","1,572 ","2,906 ","ראש פינה"
"Reine",50,33,10,20,15,210,839,"1,049","4,038 ","5,215 ","18,152 ","ריינה"
"Rekhasim",33,"-",4,4,12,26,131,157,"1,249 ","1,459 ","10,302 ","רכסים"
"Ramat Yishay",73,"-",6,"-",1,76,200,276,"2,976 ","3,332 ","7,460 ","רמת ישי"
"Shibli-Umm Al-Ghanam ",59,4,11,3,35,272,276,548,"1,541 ","2,201 ","5,568 ","שבלי-אום אל-גנם"
"Segev-Shalom",10,1,2,2,34,100,320,420,"1,040 ","1,509 ","8,754 ","שגב-שלום"
"Shoham",302,"-",43,8,13,94,379,473,"7,267 ","8,106 ","19,986 ","שוהם"
"Shelomi",90,2,5,23,13,29,175,204,"1,962 ","2,299 ","6,254 ","שלומי"
"Sha'ab",26,"-",1,"-",25,46,254,300,"1,767 ","2,119 ","6,480 ","שעב"
"Tel Mond",180,6,10,15,18,104,391,495,"4,305 ","5,029 ","11,674 ","תל מונד"
"Tel Sheva",16,24,2,17,47,125,650,775,"2,109 ","2,990 ","18,083 ","תל שבע"
,,,,,,,,,,,,
"(1) The data are presented according to the registered locality  ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב -"
"      (address) of the owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    לא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
