"TABLE 8.- MOTOR VEHICLES REGISTERED IN CITIES,(1)",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,(1)"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2016,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה ",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2015",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2015,
" Total","106,798","4,090","18,256","13,547","9,778","63,231","144,335","207,566","1,988,726 ","2,348,761 ","6,283,414 ","סך הכל"
"Umm Al-Fahm",586,5,48,40,118,583,"2,173","2,756","13,606 ","17,159 ","52,499 ","אום אל-פחם"
"Ofaqim",128,3,29,86,54,164,424,588,"5,537 ","6,425 ","25,637 ","אופקים"
"Or Yehuda",754,19,370,808,444,511,981,"1,492","10,803 ","14,690 ","36,163 ","אור יהודה"
"Or Aqiva",146,2,31,17,22,155,410,565,"5,279 ","6,062 ","17,083 ","אור עקיבא"
"Elat","1,448",31,473,60,49,542,"1,341","1,883","15,083 ","19,027 ","49,734 ","אילת"
"Elad",312,"-",40,9,39,73,532,605,"4,792 ","5,797 ","44,872 ","אלעד"
"Ari'el",184,1,37,96,35,101,349,450,"5,145 ","5,948 ","18,717 ","אריאל"
"Ashdod","1,203",47,654,147,355,"2,134","3,090","5,224","51,646 ","59,276 ","220,173 ","אשדוד"
"Ashqelon","1,249",52,424,398,167,"1,460","2,979","4,439","38,853 ","45,582 ","130,659 ","אשקלון"
"Baqa Al-Gharbiyye",288,26,42,45,77,604,"1,293","1,897","8,338 ","10,713 ","28,124 ","באקה אל-גרביה"
"Be'er Sheva","1,228",81,642,566,422,"2,132","4,833","6,965","57,158 ","67,062 ","203,603 ","באר שבע"
"Bet She'an",263,2,13,44,23,159,369,528,"5,184 ","6,057 ","17,332 ","בית שאן"
"Bet Shemesh",349,10,143,85,107,409,"1,056","1,465","13,146 ","15,305 ","103,922 ","בית שמש"
"Betar Illit",133,1,3,27,45,53,341,394,"3,108 ","3,711 ","49,343 ","ביתר עילית"
"Bene Beraq","2,234",73,94,166,158,"1,008","2,672","3,680","42,129 ","48,534 ","182,799 ","בני ברק"
" Bat Yam","3,136",13,852,12,65,733,"2,182","2,915","31,043 ","38,036 ","128,892 ","בת ים"
"Giv'at Shemuel",677,7,71,4,41,104,420,524,"8,004 ","9,328 ","25,298 ","גבעת שמואל"
"Giv'atayim","2,624",2,150,3,15,204,698,902,"19,399 ","23,095 ","57,507 ","גבעתיים"
"Dimona",251,6,116,66,75,330,819,"1,149","8,883 ","10,546 ","33,257 ","דימונה"
"Hod HaSharon","1,296",10,109,7,59,443,"1,283","1,726","22,946 ","26,153 ","56,658 ","הוד השרון"
"Herzliyya","2,698",20,252,105,43,753,"2,173","2,926","39,016 ","45,060 ","91,925 ","הרצלייה"
"Hadera","1,256",34,134,57,144,769,"2,011","2,780","28,764 ","33,169 ","88,783 ","חדרה"
"Holon","5,026",90,"1,517","1,300",231,"1,981","4,341","6,322","58,001 ","72,487 ","188,834 ","חולון"
" Haifa","2,515",303,412,648,152,"3,296","8,094","11,390","105,516 ","120,936 ","278,903 ","חיפה"
"Tiberias",649,12,104,28,58,394,894,"1,288","11,626 ","13,765 ","42,609 ","טבריה"
"Tayibe",178,35,55,79,211,646,"1,992","2,638","12,308 ","15,504 ","40,940 ","טייבה"
" Tire",229,12,39,13,88,626,"1,333","1,959","8,450 ","10,790 ","24,872 ","טירה"
"Tirat Karmel",137,11,120,15,8,216,345,561,"6,029 ","6,881 ","19,349 ","טירת כרמל"
" Tamra",142,27,27,52,65,454,"1,563","2,017","9,530 ","11,860 ","32,388 ","טמרה"
"Yavne",548,6,145,64,79,687,"1,082","1,769","15,106 ","17,717 ","42,313 ","יבנה"
"Yehud",820,4,142,1,8,328,758,"1,086","11,251 ","13,312 ","29,146 ","יהוד"
"Yoqne'am Illit",159,2,26,5,35,121,288,409,"6,981 ","7,617 ","21,382 ","יקנעם עילית"
" Jerusalem","10,800",284,"1,941","1,762","1,900","6,109","18,625","24,734","181,920 ","223,341 ","865,720 ","ירושלים"
"Kefar Yona",445,1,47,5,4,137,525,662,"7,335 ","8,499 ","21,610 ","כפר יונה"
"Kefar Sava","1,724",36,215,592,56,907,"2,260","3,167","55,440 ","61,230 ","96,922 ","כפר סבא"
"Kafar Qasem",125,95,62,80,168,"1,055",918,"1,973","6,294 ","8,797 ","21,847 ","כפר קאסם"
"Karmi'el",422,14,148,117,151,514,742,"1,256","13,546 ","15,654 ","44,858 ","כרמיאל"
"Lod",588,20,216,118,226,795,"2,133","2,928","42,963 ","47,059 ","72,818 ","לוד"
"Migdal HaEmeq",223,3,26,17,25,247,386,633,"6,905 ","7,832 ","24,959 ","מגדל העמק"
"Modi'in Illit",839,17,161,20,39,396,"1,124","1,520","29,051 ","31,647 ","88,748 ","מודיעין עילית"
"Modi'in-Makkabbim-Re'ut",91,"-",7,29,49,49,340,389,"2,860 ","3,425 ","64,179 ","מודיעין-מכבים-רעות"
"Ma'ale Adummim",398,5,133,21,47,250,545,795,"10,971 ","12,370 ","37,524 ","מעלה אדומים"
"Ma'alot-Tarshiha",170,2,20,42,41,129,516,645,"6,346 ","7,266 ","21,227 ","מעלות-תרשיחא"
"Nahariyya",918,24,79,197,62,467,993,"1,460","16,972 ","19,712 ","54,305 ","נהרייה"
"Nes Ziyyona",728,9,124,8,10,306,948,"1,254","16,166 ","18,299 ","46,890 ","נס ציונה"
" Nazareth",649,52,164,412,141,"1,172","3,556","4,728","23,691 ","29,837 ","75,726 ","נצרת"
"Nazerat Illit",201,5,41,28,37,339,806,"1,145","12,488 ","13,945 ","40,197 ","נצרת עילית"
"Nesher",264,5,56,"-",7,297,404,701,"7,919 ","8,952 ","23,419 ","נשר"
"Netivot",121,13,71,38,62,287,691,978,"6,828 ","8,111 ","31,314 ","נתיבות"
"Netanya","3,494",71,692,118,151,"1,514","4,082","5,596","61,292 ","71,414 ","207,945 ","נתניה"
"Sakhnin",80,3,89,94,114,311,"1,366","1,677","9,655 ","11,712 ","29,315 ","סח'נין"
"Akko",563,13,77,19,39,431,894,"1,325","13,411 ","15,447 ","47,674 ","עכו"
"Afula",406,23,68,132,34,342,860,"1,202","13,919 ","15,784 ","44,929 ","עפולה"
"Arad",141,3,57,117,147,229,"1,129","1,358","6,214 ","8,037 ","24,436 ","ערד"
"Petah Tiqwa","5,325",124,888,135,161,"3,969","4,758","8,727","74,927 ","90,287 ","230,984 ","פתח תקווה"
"Zefat",304,9,99,64,51,116,621,737,"6,574 ","7,838 ","33,357 ","צפת"
"Qalansawe",156,7,10,32,58,333,"1,112","1,445","5,851 ","7,559 ","21,451 ","קלנסווה"
"Qiryat Ono","1,018",14,150,14,15,171,620,791,"13,613 ","15,615 ","37,790 ","קריית אונו"
"Qiryat Atta",593,14,109,101,121,760,"1,043","1,803","17,345 ","20,086 ","55,464 ","קריית אתא"
"Qiryat Bialik",291,17,57,1,19,425,675,"1,100","12,947 ","14,432 ","39,069 ","קריית ביאליק"
"Qiryat Gat",302,8,137,139,117,395,866,"1,261","12,208 ","14,172 ","51,482 ","קריית גת"
"Qiryat Yam",243,11,85,4,23,200,483,683,"10,308 ","11,357 ","39,272 ","קריית ים"
"Qiryat Motzkin",280,15,148,3,41,211,538,749,"13,737 ","14,973 ","40,159 ","קריית מוצקין"
"Qiryat Mal'akhi",94,16,29,46,68,526,483,"1,009","5,631 ","6,893 ","21,550 ","קריית מלאכי"
"Qiryat Shemona",259,6,43,67,53,333,541,874,"7,283 ","8,585 ","23,076 ","קריית שמונה"
"Rosh HaAyin","1,031",10,123,629,94,"1,134","1,209","2,343","18,883 ","23,113 ","42,938 ","ראש העין"
"Rishon LeZiyyon","5,253",683,"1,277",316,293,"3,160","7,352","10,512","137,936 ","156,270 ","243,972 ","ראשון לציון"
"Rahat",53,17,9,27,589,"1,156","2,286","3,442","8,734 ","12,871 ","62,414 ","רהט"
"Rehovot","1,503",41,467,64,116,785,"2,299","3,084","41,947 ","47,222 ","132,671 ","רחובות"
"Ramla",557,45,342,585,202,"2,487","1,849","4,336","20,749 ","26,816 ","73,685 ","רמלה"
"Ramat Gan","6,727",35,582,24,68,807,"2,553","3,360","48,521 ","59,317 ","152,596 ","רמת גן"
"Ramat HaSharon","1,236",25,119,8,10,247,"1,042","1,289","19,391 ","22,078 ","44,427 ","רמת השרון"
"Ra'annana","1,375",8,110,42,61,310,"1,371","1,681","29,457 ","32,734 ","70,782 ","רעננה"
"Sederot",124,22,129,116,81,277,613,890,"6,300 ","7,662 ","23,089 ","שדרות"
"Shefar'am",182,43,40,41,54,380,"1,822","2,202","12,210 ","14,772 ","40,017 ","שפרעם"
"Tel Aviv-Yafo","23,656","1,275","1,495","2,070",481,"6,593","13,237","19,830","229,328 ","278,135 ","432,891 ","תל אביב -יפו"
,,,,,,,,,,,,
"(1) The data are presented according to the registered locality (address) ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב -"
"      of the owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    לא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
